freq	lemma	category
4657	excite	feeling
3245	smile	feeling
2720	soft	property
2543	amaze	feeling
2089	grandma	family
1975	sky	nature
1714	kid	family
1653	smell	action
1552	tire	object
1522	loud	property
1441	grandpa	family
1351	bright	property
1241	hold	action
1205	taste	action
1166	leaf	plant
1136	heavy	property
1058	shiny	property
1046	shape	property
966	round	property
941	sand	nature
926	grind	action
922	pick	action
918	touch	action
873	jump	action
842	block	toy
826	stone	object
815	wet	property
793	hug	action
788	bore	feeling
774	top	property
736	smooth	property
689	bear	animal
679	shelf	object
645	dry	property
643	tower	place
635	snack	food
630	king	other
609	push	action
597	crayon	toy
593	trouser	clothing
569	voice	sound
556	pot	object
543	whole	property
542	swing	toy
537	tiny	property
518	cooky	food
516	spoon	object
513	side	other
502	rest	action
476	fresh	property
476	bowl	object
464	coin	object
462	care	feeling
459	brush	tool
456	slide	toy
454	bumpy	property
453	sunny	weather
451	fix	action
444	hurt	feeling
442	step	action
442	math	other
439	soap	object
433	stick	object
419	bug	animal
416	cloth	object
416	hill	nature
405	field	nature
401	blanket	object
401	count	action
400	mix	action
390	pull	action
384	gift	object
380	cover	action
375	tail	body
368	candy	food
367	playground	place
366	finger	body
363	calm	feeling
359	spot	property
349	yummy	property
343	clap	action
343	puzzle	toy
343	cookie	food
336	pant	action
331	hit	action
324	careful	feeling
314	rabbit	animal
309	frog	animal
308	shell	nature
308	glad	feeling
301	duck	animal
298	castle	place
297	church	place
297	path	place
295	deep	property
295	balloon	toy
293	joke	action
287	jean	clothing
284	flag	object
281	fridge	object
281	bell	object
275	dirt	nature
273	sign	object
271	square	property
269	race	action
269	lift	action
266	save	action
266	clear	property
266	screen	object
263	thin	property
260	fair	other
255	bench	object
248	button	clothing
242	fit	property
240	drum	toy
239	pond	nature
236	colorful	property
235	middle	other
235	seat	object
229	pocket	clothing
225	roof	object
225	cry	feeling
225	fight	action
225	drop	action
221	bake	action
220	fur	body
220	elephant	animal
219	fluffy	property
219	sharp	property
217	robot	toy
217	hide	action
211	proud	feeling
211	wing	body
211	dot	property
207	shin	body
206	empty	property
204	mud	nature
203	corner	place
200	tummy	body
200	teddy	toy
199	scar	body
199	burn	action
198	low	property
197	lady	family
196	straight	property
195	jar	object
194	sofa	object
194	sour	property
192	puppy	animal
191	blow	action
191	thick	property
191	pillow	object
187	treat	action
187	sink	object
185	choice	other
184	monkey	animal
184	brave	feeling
182	bubble	object
181	clay	object
179	wide	property
179	sock	clothing
179	bite	action
177	friendly	feeling
175	stage	place
171	shake	action
170	roll	action
162	pour	action
162	float	action
162	lamp	object
161	tap	object
161	drawing	action
160	hero	other
160	queen	other
159	colour	property
159	solve	action
155	heat	nature
154	tight	property
154	statue	object
153	fence	object
153	mark	action
153	scary	feeling
153	pan	object
151	temple	place
150	kite	toy
149	press	action
147	helper	other
147	hang	action
145	rid	action
145	rainbow	nature
143	feather	body
143	spin	action
141	crunchy	property
137	candle	object
136	lemon	food
135	hop	action
135	dragon	animal
135	towel	object
135	gate	place
132	sticker	toy
132	sickness	feeling
131	breath	body
130	flour	food
129	reach	action
129	drawer	object
127	tale	other
126	magic	other
125	notebook	object
124	artist	other
122	silly	feeling
122	tablet	object
121	knee	body
120	basket	object
118	string	object
118	bedtime	other
117	ant	animal
117	brick	object
117	adventure	other
116	cough	action
116	clown	other
112	hall	place
112	asleep	feeling
112	knight	other
112	lid	object
111	wooden	property
111	pack	action
111	tank	object
111	magnet	object
111	bark	sound
110	beat	action
109	mirror	object
109	wire	object
109	germ	other
108	experiment	action
108	sticky	property
106	alive	property
104	pyramid	place
103	case	object
102	size	property
102	melt	action
102	lie	action
101	trick	action
101	crack	action
99	dust	object
99	secret	feeling
98	tie	action
98	branch	plant
98	shine	action
97	pancake	food
97	rough	property
97	necklace	clothing
95	soccer	action
95	mat	object
95	wild	property
94	cartoon	other
93	treasure	object
93	sleepy	feeling
93	silk	material
92	turtle	animal
92	joy	feeling
91	sandcastle	object
91	glue	tool
91	kitten	animal
91	kiss	action
90	shout	action
90	sunset	nature
90	honey	food
89	track	place
88	pretend	action
88	tasty	property
87	grape	food
87	snail	animal
87	wag	action
87	salty	property
85	surprise	feeling
85	cozy	feeling
85	handle	object
84	whisper	action
84	rise	action
83	splash	action
82	fork	object
82	closet	place
81	glove	clothing
81	crab	animal
80	sword	object
80	flow	action
79	barn	place
79	stir	action
79	puddle	nature
78	tag	object
77	bandage	object
77	snowman	object
77	toe	body
77	rug	object
77	bend	action
76	act	action
76	fox	animal
75	popcorn	food
75	nest	nature
75	toast	food
74	fort	place
73	mess	property
73	rocky	property
72	cave	place
71	scissor	tool
71	crown	object
71	worm	animal
70	hammer	tool
70	cheer	action
70	tune	sound
70	remote	object
69	chest	body
69	boom	sound
69	fold	action
69	edge	property
69	nail	object
68	rope	object
68	kingdom	place
67	painter	other
67	petal	plant
67	lemonade	food
67	raw	property
67	carpet	object
67	pasta	food
66	indian	other
66	pacific	nature
65	cupboard	object
65	spill	action
65	bush	plant
65	noisy	property
65	messy	property
65	view	other
65	promise	action
64	tongue	body
64	net	object
64	lock	object
64	bee	animal
64	bin	object
63	dentist	other
63	cute	property
63	cube	property
63	pile	other
62	pain	feeling
62	chew	action
62	score	action
62	bunny	animal
62	neck	body
61	tractor	object
61	bang	sound
60	tent	object
60	safety	property
60	soldier	other
60	knock	action
60	garage	place
60	bump	action
60	roar	sound
60	glow	property
60	grey	property
59	shovel	tool
59	trash	object
59	wool	material
59	corn	food
59	click	sound
58	bow	object
58	tube	object
58	cowboy	other
58	greece	place
58	milky	property
57	squishy	property
57	spider	animal
57	tear	body
56	spread	action
56	whale	animal
56	kindness	feeling
56	dough	food
56	marry	action
56	slice	action
56	dusty	property
56	grain	food
56	fan	object
55	shadow	nature
55	pie	food
55	poster	object
55	hum	sound
55	chip	food
55	sail	action
54	mommy	family
54	protect	action
54	stretch	action
54	bounce	action
53	monster	animal
52	gentle	feeling
52	storybook	object
52	oil	food
52	strange	property
51	korea	place
51	wolf	animal
51	powder	object
50	piggy	animal
50	penguin	animal
50	camel	animal
50	wise	property
50	dangerous	property
49	sandbox	toy
49	playtime	other
49	favourite	feeling
48	dolphin	animal
48	horn	object
48	feed	action
48	parrot	animal
48	pointy	property
47	giraffe	animal
47	ceiling	object
47	nut	food
47	dull	property
47	connect	action
47	weight	property
47	noon	nature
47	goal	other
47	envelope	object
47	goodnight	other
46	direction	other
46	runner	other
46	nap	action
45	strip	action
45	owner	other
45	valley	nature
45	pattern	property
45	needle	tool
45	fever	feeling
45	pass	action
45	dancer	other
44	thirsty	feeling
44	thunder	weather
44	stamp	object
44	prize	object
44	lizard	animal
44	recipe	other
44	tidy	action
44	lay	action
44	dessert	food
44	sunflower	plant
43	trunk	body
43	wipe	action
43	tip	object
43	tape	tool
43	peel	action
43	shade	nature
43	globe	object
43	neat	property
43	shed	object
43	golden	property
43	strawberry	food
43	kit	object
43	copy	action
42	poem	other
42	imagination	feeling
42	jungle	nature
42	birdhouse	object
42	hook	object
42	scale	object
42	guide	other
42	evil	property
41	crowd	other
41	stair	object
41	stem	plant
41	seek	action
41	tick	sound
40	paw	body
40	american	other
40	deer	animal
40	stomach	body
40	freeze	action
40	lap	body
40	scarf	clothing
40	lettuce	food
40	frame	object
40	bakery	place
39	tray	object
39	celebrate	action
39	goat	animal
39	steal	action
39	counter	object
39	lead	action
39	noodle	food
39	kangaroo	animal
38	breeze	weather
38	firefighter	other
38	explore	action
38	chain	object
38	shut	action
38	clever	property
38	raise	action
37	huge	property
37	firework	object
37	flame	nature
37	sauce	food
37	flash	nature
36	pea	food
36	helmet	clothing
36	material	property
35	lick	action
35	accident	other
35	wonder	feeling
35	vet	other
35	mosquito	animal
35	bracelet	clothing
35	sponge	object
34	plain	property
34	cap	clothing
34	cheek	body
34	tunnel	place
34	worry	feeling
34	faraway	property
33	sidewalk	place
33	purr	sound
33	stream	nature
33	baker	other
33	switch	action
33	dead	property
32	bitter	property
32	lava	nature
32	sneeze	action
32	hay	plant
32	playroom	place
32	yogurt	food
32	timer	tool
32	chase	action
32	pedal	object
32	crash	action
32	wrap	action
